6
673
id	astId	startLong	startLat	endLong	endLat
string	int	float	float	float	float
astline_66_5	66	337.87625000000003	-32.346110000000003	343.98707999999999	-32.539720000000003
astline_67_0	67	15.70458	31.80444	18.437080000000002	24.58361
astline_67_1	67	15.70458	31.80444	19.866669999999999	27.26417
astline_67_2	67	19.866669999999999	27.26417	18.437080000000002	24.58361
astline_67_3	67	18.437080000000002	24.58361	22.870830000000002	15.345829999999999
astline_67_4	67	22.870830000000002	15.345829999999999	26.348330000000001	9.1577800000000007
astline_67_5	67	26.348330000000001	9.1577800000000007	30.511669999999999	2.7636099999999999
astline_67_6	67	30.511669999999999	2.7636099999999999	28.388750000000002	3.1875
astline_67_7	67	28.388750000000002	3.1875	25.35792	5.4874999999999998
astline_67_8	67	25.35792	5.4874999999999998	22.546250000000001	6.1438899999999999
astline_67_9	67	22.546250000000001	6.1438899999999999	15.73583	7.89
astline_67_10	67	15.73583	7.89	12.0725	7.3
astline_67_11	67	12.0725	7.3	5.1495800000000003	8.1902799999999996
